('Bad return', ('profile', 0, 'parsing(sys.argv[1], sys.argv[2])'))
         315763 function calls (300228 primitive calls) in 0.676 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       86    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_md5}
       13    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
        1    0.000    0.000    0.001    0.001 element.py:1191(Tag)
      325    0.000    0.000    0.006    0.000 {built-in method builtins.next}
       18    0.000    0.000    0.000    0.000 enum.py:626(_find_new_)
        1    0.000    0.000    0.000    0.000 ssl.py:841(SSLObject)
        1    0.000    0.000    0.015    0.015 shutil.py:1(<module>)
    42/30    0.000    0.000    0.018    0.001 css_parser.py:569(parse_pseudo_class)
      190    0.000    0.000    0.000    0.000 dammit.py:134(<genexpr>)
       69    0.000    0.000    0.001    0.000 typing.py:947(__init__)
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:78(_check_methods)
        4    0.000    0.000    0.000    0.000 contextlib.py:252(contextmanager)
        7    0.000    0.000    0.001    0.000 typing.py:801(__init__)
      173    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       42    0.000    0.000    0.002    0.000 typing.py:1147(copy_with)
      297    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      636    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
      163    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
   160/85    0.000    0.000    0.000    0.000 typing.py:1037(__hash__)
        1    0.000    0.000    0.017    0.017 tempfile.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _status_codes.py:1(<module>)
       22    0.000    0.000    0.000    0.000 util.py:16(lower)
       16    0.000    0.000    0.054    0.003 css_parser.py:296(__init__)
        1    0.000    0.000    0.025    0.025 header.py:1(<module>)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:421(spec_from_loader)
        2    0.000    0.000    0.102    0.051 parser.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _config.py:1(<module>)
      124    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       46    0.000    0.000    0.000    0.000 ipaddress.py:1740(_parse_hextet)
        1    0.000    0.000    0.000    0.000 iterators.py:1(<module>)
       20    0.000    0.000    0.000    0.000 typing.py:253(_deduplicate)
        1    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
       17    0.000    0.000    0.002    0.000 typing.py:1223(__getitem__)
    38/29    0.000    0.000    0.018    0.001 css_parser.py:732(parse_pseudo_open)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1199(_parse_octet)
        1    0.000    0.000    0.008    0.008 core.py:1(<module>)
        1    0.000    0.000    0.005    0.005 scanner.py:1(<module>)
        7    0.000    0.000    0.001    0.000 enum.py:947(_create_pseudo_member_)
        1    0.000    0.000    0.001    0.001 base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method sys.setprofile}
        1    0.000    0.000    0.003    0.003 __init__.py:496(DetectsXMLParsedAsHTML)
        1    0.000    0.000    0.285    0.285 element.py:1(<module>)
        1    0.000    0.000    0.002    0.002 util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 request.py:317(Request)
        1    0.000    0.000    0.000    0.000 ssl.py:480(SSLContext)
        1    0.000    0.000    0.019    0.019 _urls.py:1(<module>)
        1    0.000    0.000    0.002    0.002 errors.py:1(<module>)
       50    0.000    0.000    0.001    0.000 ipaddress.py:1908(__init__)
      171    0.000    0.000    0.000    0.000 enum.py:801(value)
      244    0.000    0.000    0.000    0.000 typing.py:1031(__eq__)
      8/6    0.000    0.000    0.028    0.005 <frozen importlib._bootstrap_external>:1174(create_module)
       12    0.000    0.000    0.000    0.000 datetime.py:461(__new__)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:375(_freeze_relations)
        1    0.000    0.000    0.000    0.000 _client.py:188(BaseClient)
        1    0.000    0.000    0.003    0.003 asgi.py:1(<module>)
       22    0.000    0.000    0.001    0.000 abc.py:105(__new__)
       12    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1628(path_hook_for_FileFinder)
        1    0.000    0.000    0.007    0.007 bz2.py:1(<module>)
       59    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       57    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 ssl.py:1002(SSLSocket)
        1    0.000    0.000    0.000    0.000 message.py:945(MIMEPart)
       86    0.000    0.000    0.000    0.000 re.py:269(escape)
        7    0.000    0.000    0.001    0.000 enum.py:937(_missing_)
        1    0.000    0.000    0.000    0.000 pathlib.py:112(_WindowsFlavour)
        1    0.000    0.000    0.056    0.056 css_parser.py:418(CSSParser)
        1    0.000    0.000    0.000    0.000 bz2.py:26(BZ2File)
       55    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
        1    0.000    0.000    0.000    0.000 socket.py:214(socket)
       18    0.000    0.000    0.000    0.000 enum.py:198(<dictcomp>)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
       62    0.000    0.000    0.000    0.000 __init__.py:25(__new__)
      236    0.000    0.000    0.000    0.000 typing.py:1022(<genexpr>)
      150    0.000    0.000    0.000    0.000 typing.py:1242(__eq__)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:254(_requires_builtin_wrapper)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1272(__init__)
       20    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.001    0.001 _decoders.py:1(<module>)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
    22/20    0.000    0.000    0.011    0.001 typing.py:401(__getitem__)
        2    0.000    0.000    0.000    0.000 typing.py:523(Optional)
      163    0.000    0.000    0.000    0.000 typing.py:705(__eq__)
       52    0.000    0.000    0.003    0.000 css_parser.py:1092(<listcomp>)
      462    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
       61    0.000    0.000    0.000    0.000 dammit.py:166(<listcomp>)
        6    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
      133    0.000    0.000    0.000    0.000 enum.py:446(<genexpr>)
        7    0.000    0.000    0.001    0.000 typing.py:1188(copy_with)
       93    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        1    0.000    0.000    0.000    0.000 parse.py:156(_NetlocResultMixinBase)
        1    0.000    0.000    0.000    0.000 client.py:108(<dictcomp>)
       62    0.000    0.000    0.000    0.000 _status_codes.py:28(__new__)
       53    0.000    0.000    0.000    0.000 enum.py:245(<genexpr>)
        2    0.000    0.000    0.002    0.001 typing.py:2267(__new__)
        1    0.000    0.000    0.000    0.000 css_match.py:79(_DocumentNav)
       55    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
       21    0.000    0.000    0.001    0.000 ipaddress.py:1488(__init__)
       59    0.000    0.000    0.000    0.000 __init__.py:402(<genexpr>)
        1    0.000    0.000    0.004    0.004 encoder.py:1(<module>)
       13    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
        1    0.000    0.000    0.084    0.084 feedparser.py:1(<module>)
       17    0.000    0.000    0.000    0.000 enum.py:423(__getattr__)
      128    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
        1    0.000    0.000    0.000    0.000 {method 'groupdict' of 're.Match' objects}
      311    0.000    0.000    0.000    0.000 css_parser.py:302(get_name)
      110    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
        4    0.000    0.000    0.001    0.000 ssl.py:457(__new__)
      110    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
