('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         719064 function calls (700216 primitive calls) in 1.607 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    234/6    0.001    0.000    0.205    0.034 <frozen importlib._bootstrap>:664(_load_unlocked)
      229    0.000    0.000    0.000    0.000 typing.py:705(__eq__)
      224    0.000    0.000    0.000    0.000 enum.py:801(value)
      224    0.000    0.000    0.000    0.000 types.py:176(__get__)
      217    0.000    0.000    0.001    0.000 typing.py:947(__init__)
      217    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
      217    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
      217    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
      214    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
      213    0.001    0.000    0.004    0.000 typing.py:1016(__init__)
  211/173    0.000    0.000    0.000    0.000 sre_compile.py:485(_get_literal_prefix)
  209/207    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
      208    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      208    0.013    0.000    0.013    0.000 {built-in method marshal.loads}
      208    0.007    0.000    0.007    0.000 {method 'read' of '_io.BufferedReader' objects}
      208    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
      208    0.002    0.000    0.002    0.000 {built-in method io.open_code}
      208    0.000    0.000    0.000    0.000 _models.py:166(encoding)
      208    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      208    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
      208    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
      208    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      208    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
    208/6    0.000    0.000    0.205    0.034 <frozen importlib._bootstrap_external>:877(exec_module)
      208    0.001    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:950(get_code)
      208    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
      208    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
      208    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      208    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
      208    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(<genexpr>)
      197    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
      194    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      193    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      193    0.000    0.000    0.001    0.000 enum.py:986(__and__)
      193    0.001    0.000    0.005    0.000 sre_compile.py:560(_compile_info)
      193    0.000    0.000    0.028    0.000 sre_compile.py:622(_code)
      193    0.001    0.000    0.080    0.000 sre_compile.py:783(compile)
      193    0.000    0.000    0.000    0.000 sre_parse.py:225(__init__)
      193    0.000    0.000    0.000    0.000 sre_parse.py:928(fix_flags)
      193    0.001    0.000    0.051    0.000 sre_parse.py:944(parse)
      190    0.000    0.000    0.000    0.000 dammit.py:134(<genexpr>)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      188    0.000    0.000    0.000    0.000 _models.py:19(enforce_bytes)
  186/124    0.000    0.000    0.000    0.000 typing.py:1247(__hash__)
      183    0.000    0.000    0.000    0.000 sre_parse.py:85(opengroup)
      183    0.000    0.000    0.005    0.000 sre_parse.py:97(closegroup)
      177    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      170    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      168    0.000    0.000    0.000    0.000 enum.py:559(<lambda>)
      162    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
      154    0.000    0.000    0.000    0.000 typing_extensions.py:2954(_has_generic_or_protocol_as_origin)
      154    0.001    0.000    0.001    0.000 typing_extensions.py:2989(_collect_type_vars)
      151    0.000    0.000    0.000    0.000 {method 'lower' of 'bytes' objects}
      149    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      144    0.000    0.000    0.000    0.000 typing.py:1143(<genexpr>)
      141    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      136    0.000    0.000    0.000    0.000 css_parser.py:359(__init__)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:375(_freeze_relations)
  136/131    0.000    0.000    0.002    0.000 css_parser.py:385(freeze)
      136    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
      135    0.000    0.000    0.000    0.000 dataclasses.py:663(_is_type)
      133    0.000    0.000    0.000    0.000 enum.py:446(<genexpr>)
      128    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
      122    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      122    0.000    0.000    0.000    0.000 sre_compile.py:437(<listcomp>)
      122    0.000    0.000    0.001    0.000 sre_compile.py:435(_mk_bitmap)
      120    0.001    0.000    0.001    0.000 sre_compile.py:516(_get_charset_prefix)
      118    0.000    0.000    0.001    0.000 _markupbase.py:165(parse_comment)
      118    0.000    0.000    0.001    0.000 _htmlparser.py:241(handle_comment)
      113    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
      112    0.000    0.000    0.000    0.000 _urlparse.py:223(<genexpr>)
      112    0.000    0.000    0.000    0.000 dataclasses.py:817(_set_qualname)
      110    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
      109    0.000    0.000    0.000    0.000 {method 'isprintable' of 'str' objects}
      108    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
      107    0.000    0.000    0.000    0.000 constant.py:398(<lambda>)
      106    0.000    0.000    0.000    0.000 typing_extensions.py:3024(<listcomp>)
      106    0.000    0.000    0.000    0.000 dataclasses.py:824(_set_new_attribute)
      105    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       98    0.000    0.000    0.000    0.000 dataclasses.py:645(_is_classvar)
       98    0.000    0.000    0.000    0.000 dataclasses.py:653(_is_initvar)
       98    0.000    0.000    0.000    0.000 dataclasses.py:659(_is_kw_only)
       97    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       96    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
       95    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
       94    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       94    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       94    0.000    0.000    0.000    0.000 {method 'groupdict' of 're.Match' objects}
       94    0.000    0.000    0.002    0.000 abc.py:105(__new__)
       93    0.000    0.000    0.000    0.000 typing.py:206(_collect_type_vars)
       91    0.000    0.000    0.000    0.000 enum.py:980(__or__)
    89/73    0.000    0.000    0.003    0.000 typing.py:401(__getitem__)
       89    0.000    0.000    0.005    0.000 dataclasses.py:412(_create_fn)
    88/58    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       88    0.000    0.000    0.000    0.000 ipaddress.py:1199(_parse_octet)
       88    0.000    0.000    0.002    0.000 typing.py:1147(copy_with)
    88/58    0.000    0.000    0.000    0.000 abc.py:121(__subclasscheck__)
       87    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
       87    0.000    0.000    0.000    0.000 _util.py:84(validate)
       86    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       86    0.000    0.000    0.000    0.000 re.py:269(escape)
       86    0.000    0.000    0.000    0.000 sre_parse.py:268(getuntil)
       84    0.000    0.000    0.000    0.000 css_parser.py:798(parse_combinator)
       84    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
       81    0.000    0.000    0.000    0.000 message.py:393(__setitem__)
       81    0.000    0.000    0.000    0.000 _policybase.py:209(header_max_count)
       81    0.000    0.000    0.000    0.000 _policybase.py:313(header_store_parse)
       81    0.000    0.000    0.000    0.000 typing.py:219(<listcomp>)
       80    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       79    0.000    0.000    0.000    0.000 typing.py:1234(<genexpr>)
       78    0.000    0.000    0.000    0.000 signal.py:21(<lambda>)
       77    0.000    0.000    0.000    0.000 signal.py:16(<lambda>)
       77    0.000    0.000    0.004    0.000 css_parser.py:462(parse_attribute_selector)
       77    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
       76    0.000    0.000    0.000    0.000 signal.py:9(<lambda>)
       76    0.000    0.000    0.000    0.000 dataclasses.py:395(<genexpr>)
       76    0.000    0.000    0.000    0.000 dataclasses.py:1098(<genexpr>)
       75    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
       74    0.000    0.000    0.000    0.000 typing.py:1330(<genexpr>)
       71    0.000    0.000    0.000    0.000 typing.py:253(_deduplicate)
    71/51    0.000    0.000    0.076    0.001 <frozen importlib._bootstrap>:1053(_handle_fromlist)
       69    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       69    0.000    0.000    0.000    0.000 css_parser.py:532(parse_tag_pattern)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
       69    0.000    0.000    0.000    0.000 __init__.py:402(<genexpr>)
       68    0.000    0.000    0.000    0.000 enum.py:245(<genexpr>)
       67    0.000    0.000    0.000    0.000 typing.py:267(_remove_dups_flatten)
       67    0.000    0.000    0.003    0.000 typing.py:483(Union)
    63/62    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       63    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       62    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
       62    0.000    0.000    0.000    0.000 _status_codes.py:28(__new__)
       62    0.000    0.000    0.000    0.000 __init__.py:25(__new__)
       61    0.000    0.000    0.000    0.000 dammit.py:166(<listcomp>)
       61    0.000    0.000    0.000    0.000 enum.py:590(_find_data_type)
